id,lat,lon,name,num_arribos,num_retiros,act
67,19.411797,-99.17588,67 VICENTE SUAREZ-MICHOACAN,1802.0,1618.0,3420.0
68,19.411556,-99.17406,68 TAMAULIPAS-MICHOACAN,2708.0,2217.0,4925.0
69,19.410733,-99.168111,69 MICHOACAN-AMSTERDAM,2115.0,2063.0,4178.0
70,19.411272,-99.169718,70 PARQUE MEXICO-MICHOACAN,1685.0,1574.0,3259.0
71,19.411423000000006,-99.171351,71 AMSTERDAM-MICHOACAN,2531.0,2208.0,4739.0
72,19.409893,-99.17954399999999,72 MAZATLAN-ALFONSO REYES,2888.0,2863.0,5751.0
73,19.410245,-99.175612,73 CAMPECHE-TAMAULIPAS,2308.0,2360.0,4668.0
74,19.410343,-99.172831,74 NUEVO LEON-OZULAMA,3058.0,2729.0,5787.0
75,19.408722,-99.17669000000001,75 ALFONSO REYES-ATLIXCO,1803.0,1959.0,3762.0
76,19.408735999999998,-99.169913,76 CHILPANCINGO-CAMPECHE,1443.0,1462.0,2905.0
77,19.406765,-99.178321,77 CHOAPAN-TAMAULIPAS,2086.0,2371.0,4457.0
78,19.407503,-99.177382,78 BENJAMIN HILL-TAMAULIPAS,1020.0,1260.0,2280.0
79,19.407534,-99.17442700000001,79 SALTILLO-ALFONSO REYES,1836.0,1859.0,3695.0
80,19.407307,-99.17211800000001,80 NUEVO LEON-AGUASCALIENTES,2269.0,2272.0,4541.0
81,19.408006,-99.168475,81 AGUASCALIENTES-INSURGENTES,544.0,630.0,1174.0
82,19.433115,-99.143686,82 INDEPENDENCIA-MARROQUI,2530.0,2521.0,5051.0
83,19.406295999999998,-99.172117,83 NUEVO LEON-ALFONSO REYES,1525.0,1622.0,3147.0
84,19.407020000000006,-99.16958699999999,84 CHILPANCINGO-TLAXCALA,2527.0,2728.0,5255.0
85,19.43425,-99.162508,85 ROSAS MORENO-SULLIVAN,2123.0,2202.0,4325.0
86,19.432378,-99.159077,86 SULLIVAN-INSURGENTES,2221.0,2709.0,4930.0
87,19.431820000000002,-99.13974,87 GANTE-VENUSTIANO CARRANZA,2098.0,1647.0,3745.0
88,19.433815,-99.13530300000001,88 2A CDA 5 DE MAYO-PALMA,850.0,615.0,1465.0
89,19.434946,-99.133989,89 REPUBLICA DE GUATEMALA-MONTE DE PIEDAD,647.0,602.0,1249.0
90,19.431698,-99.132446,90 JOSE MARIA PINO SUAREZ-CORREGIDORA,1113.0,893.0,2006.0
91,19.4374,-99.137571,91 REPUBLICA DE CUBA-ALLENDE,730.0,595.0,1325.0
92,19.436531,-99.131497,92 SAN ILDEFONSO-REPUBLICA DE ARGENTINA,1106.0,1029.0,2135.0
93,19.436741,-99.134811,93 PALMA NORTE-REPUBLICA DE CUBA,619.0,567.0,1186.0
94,19.433766000000002,-99.13091800000001,94 LIC. VERDAD-MONEDA,603.0,561.0,1164.0
95,19.430722,-99.133698,95 20 DE NOVIEMBRE-VENUSTIANO CARRANZA,845.0,759.0,1604.0
96,19.430625,-99.14248,96 LOPEZ-AYUNTAMIENTO,2693.0,2171.0,4864.0
97,19.429189,-99.132759,97 REPUBLICA DE SALVADOR-PINO SUAREZ,704.0,608.0,1312.0
98,19.430267,-99.14860999999999,98 EMILIO DONDE-AV. BALDERAS,1457.0,1257.0,2714.0
99,19.42995,-99.14591,99 ERNESTO PUGIBET-LUIS MOYA,1710.0,1451.0,3161.0
100,19.428485000000002,-99.1338,100 20 DE NOVIEMBRE-MESONES,452.0,391.0,843.0
101,19.428366,-99.13589499999999,101 1ER. CALLEJÓN DE MESONES-MESONES,254.0,196.0,450.0
102,19.42821,-99.13949000000001,102 ECHEVESTE-BOLIVAR,627.0,605.0,1232.0
103,19.441669,-99.165217,103 JOAQUÍN VELÁZQUEZ DE LEÓN-GARCÍA ICAZBALCETA,2089.0,2220.0,4309.0
104,19.427059,-99.137116,104 SAN JERONIMO-ISABEL LA CATOLICA,695.0,700.0,1395.0
105,19.426755,-99.135014,105 SAN JERONIMO-5 DE FEBRERO,476.0,486.0,962.0
106,19.42649,-99.133537,106 SAN JERONIMO-JOSE MARIA PINO SUAREZ,1606.0,1500.0,3106.0
107,19.427329,-99.149971,107 TOLSA-BALDERAS,2990.0,2991.0,5981.0
108,19.427305,-99.14953299999999,E108 TOLSA-BALDERAS,802.0,898.0,1700.0
109,19.425310999999997,-99.137421,109 NEZAHUALCOYOTL-ISABEL LA CATOLICA,1006.0,840.0,1846.0
110,19.42513,-99.14339,110 DR. VALENZUELA-DR. RÍO DE LA LOZA,1069.0,870.0,1939.0
111,19.438236899999996,-99.16594649999999,111 GUILLERMO PRIETO-JOAQUÍN VELÁZQUEZ DE LEÓN,2361.0,2612.0,4973.0
112,19.432819,-99.15173399999999,112 AV. MORELOS-ABRAHAM GONZALEZ,1646.0,1600.0,3246.0
113,19.430369,-99.15441899999999,113 GENERAL PRIM-VERSALLES,0.0,0.0,0.0
114,19.428989,-99.15361800000001,114 LUCERNA-ABRAHAM GONZALEZ ,1919.0,1837.0,3756.0
115,19.429947,-99.15969799999999,115 ROMA-DINAMARCA ,2116.0,2368.0,4484.0
116,19.428985,-99.15664,116 LONDRES-ROMA,3055.0,2710.0,5765.0
117,19.427132,-99.16036899999999,117 LONDRES-NAPOLES ,1811.0,1609.0,3420.0
118,19.427114000000003,-99.158251,118 LIVERPOOL-DINAMARCA,1798.0,1560.0,3358.0
119,19.42679,-99.15554,119 TURÍN-ABRAHAM GONZÁLEZ,2387.0,2560.0,4947.0
120,19.425437,-99.159458,120 MARSELLA-NAPOLES,1901.0,1849.0,3750.0
121,19.424136999999998,-99.16131700000001,121 NIZA-CHAPULTEPEC,2057.0,2193.0,4250.0
122,19.425501999999998,-99.146337,122 JOSE MARIA VERTIZ-AV.DR. RIO DE LA LOZA,705.0,761.0,1466.0
123,19.424160999999998,-99.15311700000001,123 CLAUDIO BERNARD-DR. LAVISTA,1977.0,2080.0,4057.0
124,19.422392000000002,-99.150358,124 CLAUDIO BERNARD-DR. LICEAGA,2554.0,2510.0,5064.0
125,19.424541,-99.156204,125 MORELIA-CIRCULAR DE MORELIA,1991.0,2046.0,4037.0
126,19.422288,-99.162138,126 JALAPA-PUEBLA,2586.0,2335.0,4921.0
127,19.423318,-99.15833,127 PUEBLA-MERIDA,1915.0,1817.0,3732.0
128,19.422148,-99.160645,128 ORIZABA-RIO DE JANEIRO,1821.0,1817.0,3638.0
129,19.4206,-99.163312,129 TONALÁ-DURANGO,1975.0,1967.0,3942.0
130,19.421576,-99.158015,130 MÉRIDA-DURANGO,1637.0,1597.0,3234.0
131,19.419579000000002,-99.161314,131 COLIMA-JALAPA,1895.0,1796.0,3691.0
132,19.420667,-99.15645,132 COLIMA-FRONTERA,1319.0,1230.0,2549.0
