id,lat,lon,name
98,19.430267,-99.14861,98 EMILIO DONDE-AV. BALDERAS
99,19.42995,-99.14591,99 ERNESTO PUGIBET-LUIS MOYA
100,19.428485,-99.1338,100 20 DE NOVIEMBRE-MESONES
101,19.428366,-99.135895,101 1ER. CALLEJÓN DE MESONES-MESONES
102,19.42821,-99.13949,102 ECHEVESTE-BOLIVAR
103,19.441669,-99.165217,103 JOAQUÍN VELÁZQUEZ DE LEÓN-GARCÍA ICAZBALCETA
104,19.427059,-99.137116,104 SAN JERONIMO-ISABEL LA CATOLICA
105,19.426755,-99.135014,105 SAN JERONIMO-5 DE FEBRERO
106,19.42649,-99.133537,106 SAN JERONIMO-JOSE MARIA PINO SUAREZ
107,19.427329,-99.149971,107 TOLSA-BALDERAS
108,19.427305,-99.149533,E108 TOLSA-BALDERAS
109,19.425311,-99.137421,109 NEZAHUALCOYOTL-ISABEL LA CATOLICA
110,19.42513,-99.14339,110 DR. VALENZUELA-DR. RÍO DE LA LOZA
111,19.4382369,-99.1659465,111 GUILLERMO PRIETO-JOAQUÍN VELÁZQUEZ DE LEÓN
112,19.432819,-99.151734,112 AV. MORELOS-ABRAHAM GONZALEZ
113,19.430369,-99.154419,113 GENERAL PRIM-VERSALLES
114,19.428989,-99.153618,114 LUCERNA-ABRAHAM GONZALEZ 
115,19.429947,-99.159698,115 ROMA-DINAMARCA 
116,19.428985,-99.15664,116 LONDRES-ROMA
117,19.427132,-99.160369,117 LONDRES-NAPOLES 
118,19.427114,-99.158251,118 LIVERPOOL-DINAMARCA
119,19.42679,-99.15554,119 TURÍN-ABRAHAM GONZÁLEZ
120,19.425437,-99.159458,120 MARSELLA-NAPOLES
121,19.424137,-99.161317,121 NIZA-CHAPULTEPEC
122,19.425502,-99.146337,122 JOSE MARIA VERTIZ-AV.DR. RIO DE LA LOZA
123,19.424161,-99.153117,123 CLAUDIO BERNARD-DR. LAVISTA
124,19.422392,-99.150358,124 CLAUDIO BERNARD-DR. LICEAGA
125,19.424541,-99.156204,125 MORELIA-CIRCULAR DE MORELIA
126,19.422288,-99.162138,126 JALAPA-PUEBLA
127,19.423318,-99.15833,127 PUEBLA-MERIDA
128,19.422148,-99.160645,128 ORIZABA-RIO DE JANEIRO
129,19.4206,-99.163312,129 TONALÁ-DURANGO
130,19.421576,-99.158015,130 MÉRIDA-DURANGO
131,19.419579,-99.161314,131 COLIMA-JALAPA
132,19.420667,-99.15645,132 COLIMA-FRONTERA
133,19.421138,-99.154725,133 COLIMA-MORELIA
134,19.418304,-99.15956,134 ÁLVARO OBREGÓN-ORIZABA
135,19.419225,-99.155099,135 ÁLVARO OBREGÓN-MORELIA
136,19.417715,-99.162729,136 ÁLVARO OBREGÓN-TONALÁ
137,19.418774,-99.157081,137 ÁLVARO OBREGÓN-MÉRIDA
138,19.417702,-99.155313,138 GUANAJUATO-FRONTERA
139,19.416128,-99.162097,E139 TONALÁ-GUANJUATO
140,19.416605,-99.156853,140 MÉRIDA-ZACATECAS
141,19.415905,-99.15954,141 ZACATECAS-LUIS CABRERA
142,19.413232,-99.164121,142 SAN LUIS POTOSI-EJE 2 PTE. MONTERREY
143,19.414303,-99.157542,143 CÓRDOBA-SAN LUIS POTOSÍ
144,19.415192,-99.154837,144 FRONTERA-SAN LUIS POTOSÍ
145,19.41286,-99.160661,145 EJE 2 SUR YUCATÁN-CHIAPAS
